"OriginalName","RenamedFile","Width","Height","SHA256"
"Screenshot 2026-09-16 090410.png","screenshots/01-hostname-ip-and-package-update.png","1482","857","FD518D60EA7B6E0B19290501472903E3DBCF3C0B4726A4105BFE39FCAA3E6844"
"Screenshot 2026-09-16 090435.png","screenshots/02-openssh-install-command-typo.png","1345","862","5FA76AAEE85B1C02BC551D26A18306581C5589907B602C7F54D28CE24F8CCA86"
"Screenshot 2026-09-16 090515.png","screenshots/03-ssh-start-enable-and-status.png","1387","872","1736740614D777F2AC5AE80B251E303FECD640CC8896E57C98714629EE812D03"
"Screenshot 2026-09-16 090531.png","screenshots/04-ssh-status-alternate-capture.png","1547","875","F827B8E73FD5ED07454C7E36D1D23807DE9F7D1287EBCDF20CC5195E4B58B2E5"
"Screenshot 2026-09-16 090611.png","screenshots/05-ssh-listener-status.png","1387","855","17759B0E4B70F0FC1365B08D6C6642230DE2ED299376B080353C8C0115ED9849"
"Screenshot 2026-09-16 090801.png","screenshots/06-ssh-status-full-view.png","1372","887","D23EC34D4474C57FAD5EE37802260BE60AF8F9F76E3CF29A210E9587BD575E24"
"Screenshot 2026-09-16 092158.png","screenshots/07-unreadable-crop-092158.png","8","1","675CB9826CE1277C368492DC899A6D228F12F1D875486F0705664F9D50CD2A40"
"Screenshot 2026-09-16 092214.png","screenshots/08-unreadable-crop-092214.png","537","7","FEF9747F39A2D8187905345DA7060BE9B426ABCA4A17BDAA2C0BEE8A18DE445A"
"Screenshot 2026-09-16 092234.png","screenshots/09-custom-webpage-in-browser.png","1456","1018","AD2E06D6594B75C74C1F208641CBDAD537239FE3436E32F686FB4263AF697765"
"Screenshot 2026-09-16 092712.png","screenshots/10-index-html-in-nano.png","1897","1001","FED647289E6FAA7EEA077AA5381E95C12E007C6631034B95A609459860438890"
"Screenshot 2026-09-16 093251.png","screenshots/11-http-headers-and-ufw-configuration.png","1535","917","17F70A320DCADCF4EF5112640613D5905D95148100EB49EC46D6F832BB4E036D"
"Screenshot 2026-09-16 093927.png","screenshots/12-apache-stop-start-http-test.png","1407","852","EFB144FA8857B611295AC6778678CDC861338ECA62F0838E85F30E0F748E45B6"
"Screenshot 2026-09-16 094528.png","screenshots/13-unreadable-crop-094528.png","1","28","6EE8148BD00B1F3E59061B78D23AFE1C6B698025EF00BAD854236E286EB456E1"
"Screenshot 2026-09-16 094608.png","screenshots/14-windows-ssh-login-and-hostname.png","1881","1062","D678E15AA6FF8A349404257ADB7E8AD6C0DA97F3B739675C2291C1EE8A5187D3"
"Screenshot 2026-09-20 120618.png","screenshots/15-browser-error-partial-view.png","1867","455","01203C03EA05C51FD0CEA1A0B77FA0BBD6544E9C6EA8ECF9C021024E1E6983AD"
"Screenshot 2026-09-20 120636.png","screenshots/16-browser-address-bar-context.png","1073","211","BB08C5D18825190F26CE577D70681F0D1B93C38754647CCB9D68B5D4D5D969AF"
"Screenshot 2026-09-20 120655.png","screenshots/17-browser-address-bar-crop.png","1020","71","FC16ED8EABD92E99E352F000143BD54950A5F94CA496DEA2087DD6FACB1DA9A3"
"Screenshot 2026-09-20 120718.png","screenshots/18-browser-connection-timeout.png","1862","1037","EE9BAFA6DF75FA44638B37B179F92ED3470E261A88A1156C7BEB618EA36980E5"
"Screenshot 2026-09-20 123858.png","screenshots/19-apache-stopped-and-ss-command-error.png","732","567","DFC4013836FEC0FDC39C4B91F57E77B9629DDA502702778AB5BB35DD5741A1D8"
"Screenshot 2026-09-23 081542.png","screenshots/20-apache-installation-check.png","1642","957","9553F1F28C4692ABB6E23C4DF51CE8946C357E16A8A2EC184494D91B352C380D"
